w_-3,w_-2,w_-1,w_0,w_1,w_2,w_3,cap_-3,cap_-2,cap_-1,cap_0,cap_1,cap_2,cap_3,label
a,50-point,move,is,less,in,percentage,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
50-point,move,is,less,in,percentage,terms,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJR
move,is,less,in,percentage,terms,than,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
is,less,in,percentage,terms,than,it,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
less,in,percentage,terms,than,it,was,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
in,percentage,terms,than,it,was,when,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
percentage,terms,than,it,was,when,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
terms,than,it,was,when,the,stock,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
than,it,was,when,the,stock,market,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,WRB
it,was,when,the,stock,market,was,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
was,when,the,stock,market,was,lower,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
when,the,stock,market,was,lower,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,NN
the,stock,market,was,lower,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,VBD
stock,market,was,lower,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,JJR
market,was,lower,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,and,the,agency,",",<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,CC
<PAD>,<PAD>,and,the,agency,",",which,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,LOWER,DT
<PAD>,and,the,agency,",",which,operated,<PAD>,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
and,the,agency,",",which,operated,throughout,TITLE,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
the,agency,",",which,operated,throughout,fiscal,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,WDT
agency,",",which,operated,throughout,fiscal,1989,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,DIGIT,VBD
",",which,operated,throughout,fiscal,1989,with,PUNCT,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,IN
which,operated,throughout,fiscal,1989,with,a,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,LOWER,JJ
operated,throughout,fiscal,1989,with,a,$,LOWER,LOWER,LOWER,DIGIT,LOWER,LOWER,PUNCT,CD
throughout,fiscal,1989,with,a,$,360,LOWER,LOWER,DIGIT,LOWER,LOWER,PUNCT,DIGIT,IN
fiscal,1989,with,a,$,360,million,LOWER,DIGIT,LOWER,LOWER,PUNCT,DIGIT,LOWER,DT
1989,with,a,$,360,million,budget,DIGIT,LOWER,LOWER,PUNCT,DIGIT,LOWER,LOWER,$
with,a,$,360,million,budget,shortfall,LOWER,LOWER,PUNCT,DIGIT,LOWER,LOWER,LOWER,CD
a,$,360,million,budget,shortfall,",",LOWER,PUNCT,DIGIT,LOWER,LOWER,LOWER,PUNCT,CD
$,360,million,budget,shortfall,",",has,PUNCT,DIGIT,LOWER,LOWER,LOWER,PUNCT,LOWER,NN
360,million,budget,shortfall,",",has,been,DIGIT,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
million,budget,shortfall,",",has,been,under,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
budget,shortfall,",",has,been,under,a,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,VBZ
shortfall,",",has,been,under,a,hiring,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
",",has,been,under,a,hiring,freeze,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
has,been,under,a,hiring,freeze,since,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
been,under,a,hiring,freeze,since,last,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
under,a,hiring,freeze,since,last,fall,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
a,hiring,freeze,since,last,fall,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
hiring,freeze,since,last,fall,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
freeze,since,last,fall,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
since,last,fall,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,release,of,several,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,release,of,several,economic,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,the,release,of,several,economic,reports,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,IN
the,release,of,several,economic,reports,had,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
release,of,several,economic,reports,had,little,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
of,several,economic,reports,had,little,impact,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
several,economic,reports,had,little,impact,on,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
economic,reports,had,little,impact,on,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
reports,had,little,impact,on,the,market,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
had,little,impact,on,the,market,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
little,impact,on,the,market,",",including,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,DT
impact,on,the,market,",",including,a,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
on,the,market,",",including,a,report,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
the,market,",",including,a,report,that,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,VBG
market,",",including,a,report,that,the,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,DT
",",including,a,report,that,the,u.s.,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,NN
including,a,report,that,the,u.s.,trade,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,LOWER,IN
a,report,that,the,u.s.,trade,deficit,LOWER,LOWER,LOWER,LOWER,UPPER,LOWER,LOWER,DT
report,that,the,u.s.,trade,deficit,expanded,LOWER,LOWER,LOWER,UPPER,LOWER,LOWER,LOWER,NNP
that,the,u.s.,trade,deficit,expanded,to,LOWER,LOWER,UPPER,LOWER,LOWER,LOWER,LOWER,NN
the,u.s.,trade,deficit,expanded,to,a,LOWER,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
u.s.,trade,deficit,expanded,to,a,surprisingly,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
trade,deficit,expanded,to,a,surprisingly,wide,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
deficit,expanded,to,a,surprisingly,wide,$,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
expanded,to,a,surprisingly,wide,$,10.77,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,RB
to,a,surprisingly,wide,$,10.77,billion,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,JJ
a,surprisingly,wide,$,10.77,billion,in,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,$
surprisingly,wide,$,10.77,billion,in,august,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,TITLE,CD
wide,$,10.77,billion,in,august,",",LOWER,PUNCT,MIXED,LOWER,LOWER,TITLE,PUNCT,CD
$,10.77,billion,in,august,",",up,PUNCT,MIXED,LOWER,LOWER,TITLE,PUNCT,LOWER,IN
10.77,billion,in,august,",",up,from,MIXED,LOWER,LOWER,TITLE,PUNCT,LOWER,LOWER,NNP
billion,in,august,",",up,from,a,LOWER,LOWER,TITLE,PUNCT,LOWER,LOWER,LOWER,","
in,august,",",up,from,a,revised,LOWER,TITLE,PUNCT,LOWER,LOWER,LOWER,LOWER,IN
august,",",up,from,a,revised,$,TITLE,PUNCT,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
",",up,from,a,revised,$,8.24,PUNCT,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,DT
up,from,a,revised,$,8.24,billion,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,VBN
from,a,revised,$,8.24,billion,in,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,$
a,revised,$,8.24,billion,in,july,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,TITLE,CD
revised,$,8.24,billion,in,july,.,LOWER,PUNCT,MIXED,LOWER,LOWER,TITLE,PUNCT,CD
$,8.24,billion,in,july,.,<PAD>,PUNCT,MIXED,LOWER,LOWER,TITLE,PUNCT,<PAD>,IN
8.24,billion,in,july,.,<PAD>,<PAD>,MIXED,LOWER,LOWER,TITLE,PUNCT,<PAD>,<PAD>,NNP
billion,in,july,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,TITLE,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,long-term,treasury,issues,declined,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,NNP
<PAD>,<PAD>,long-term,treasury,issues,declined,about,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,NNP
<PAD>,long-term,treasury,issues,declined,about,half,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,NNS
long-term,treasury,issues,declined,about,half,a,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
treasury,issues,declined,about,half,a,point,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
issues,declined,about,half,a,point,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,PDT
declined,about,half,a,point,",",or,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,DT
about,half,a,point,",",or,$,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,PUNCT,NN
half,a,point,",",or,$,5,LOWER,LOWER,LOWER,PUNCT,LOWER,PUNCT,DIGIT,","
a,point,",",or,$,5,for,LOWER,LOWER,PUNCT,LOWER,PUNCT,DIGIT,LOWER,CC
point,",",or,$,5,for,each,LOWER,PUNCT,LOWER,PUNCT,DIGIT,LOWER,LOWER,$
",",or,$,5,for,each,$,PUNCT,LOWER,PUNCT,DIGIT,LOWER,LOWER,PUNCT,NN
or,$,5,for,each,$,"1,000",LOWER,PUNCT,DIGIT,LOWER,LOWER,PUNCT,MIXED,IN
$,5,for,each,$,"1,000",face,PUNCT,DIGIT,LOWER,LOWER,PUNCT,MIXED,LOWER,DT
5,for,each,$,"1,000",face,amount,DIGIT,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,$
for,each,$,"1,000",face,amount,.,LOWER,LOWER,PUNCT,MIXED,LOWER,LOWER,PUNCT,CD
each,$,"1,000",face,amount,.,<PAD>,LOWER,PUNCT,MIXED,LOWER,LOWER,PUNCT,<PAD>,NN
$,"1,000",face,amount,.,<PAD>,<PAD>,PUNCT,MIXED,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
"1,000",face,amount,.,<PAD>,<PAD>,<PAD>,MIXED,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,improving,profitability,of,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,improving,profitability,of,u.s.,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,UPPER,VBG
<PAD>,``,improving,profitability,of,u.s.,operations,<PAD>,MIXED,TITLE,LOWER,LOWER,UPPER,LOWER,NN
``,improving,profitability,of,u.s.,operations,is,MIXED,TITLE,LOWER,LOWER,UPPER,LOWER,LOWER,IN
improving,profitability,of,u.s.,operations,is,an,TITLE,LOWER,LOWER,UPPER,LOWER,LOWER,LOWER,NNP
profitability,of,u.s.,operations,is,an,extremely,LOWER,LOWER,UPPER,LOWER,LOWER,LOWER,LOWER,NNS
of,u.s.,operations,is,an,extremely,high,LOWER,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
u.s.,operations,is,an,extremely,high,priority,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
operations,is,an,extremely,high,priority,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
is,an,extremely,high,priority,in,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
an,extremely,high,priority,in,the,company,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
extremely,high,priority,in,the,company,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
high,priority,in,the,company,.,'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,DT
priority,in,the,company,.,'',<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,<PAD>,NN
in,the,company,.,'',<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,MIXED,<PAD>,<PAD>,.
the,company,.,'',<PAD>,<PAD>,<PAD>,LOWER,LOWER,PUNCT,MIXED,<PAD>,<PAD>,<PAD>,''
<PAD>,<PAD>,<PAD>,during,the,reagan,years,<PAD>,<PAD>,<PAD>,TITLE,LOWER,TITLE,LOWER,IN
<PAD>,<PAD>,during,the,reagan,years,he,<PAD>,<PAD>,TITLE,LOWER,TITLE,LOWER,LOWER,DT
<PAD>,during,the,reagan,years,he,expanded,<PAD>,TITLE,LOWER,TITLE,LOWER,LOWER,LOWER,NNP
during,the,reagan,years,he,expanded,his,TITLE,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,NNS
the,reagan,years,he,expanded,his,business,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
reagan,years,he,expanded,his,business,and,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
years,he,expanded,his,business,and,intelligence,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP$
he,expanded,his,business,and,intelligence,contacts,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
expanded,his,business,and,intelligence,contacts,with,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
his,business,and,intelligence,contacts,with,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
business,and,intelligence,contacts,with,the,cubans,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,NNS
and,intelligence,contacts,with,the,cubans,and,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,IN
intelligence,contacts,with,the,cubans,and,the,LOWER,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,DT
contacts,with,the,cubans,and,the,sandinistas,LOWER,LOWER,LOWER,TITLE,LOWER,LOWER,TITLE,NNPS
with,the,cubans,and,the,sandinistas,.,LOWER,LOWER,TITLE,LOWER,LOWER,TITLE,PUNCT,CC
the,cubans,and,the,sandinistas,.,<PAD>,LOWER,TITLE,LOWER,LOWER,TITLE,PUNCT,<PAD>,DT
cubans,and,the,sandinistas,.,<PAD>,<PAD>,TITLE,LOWER,LOWER,TITLE,PUNCT,<PAD>,<PAD>,NNPS
and,the,sandinistas,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,TITLE,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,``,we,are,in,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,we,are,in,one,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,PRP
<PAD>,``,we,are,in,one,of,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,VBP
``,we,are,in,one,of,those,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,IN
we,are,in,one,of,those,phases,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CD
are,in,one,of,those,phases,where,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
in,one,of,those,phases,where,you,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
one,of,those,phases,where,you,are,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
of,those,phases,where,you,are,going,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,WRB
those,phases,where,you,are,going,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
phases,where,you,are,going,to,get,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
where,you,are,going,to,get,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
you,are,going,to,get,a,lot,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
are,going,to,get,a,lot,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
going,to,get,a,lot,of,volatile,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
to,get,a,lot,of,volatile,expiration,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
get,a,lot,of,volatile,expiration,action,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
a,lot,of,volatile,expiration,action,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJ
lot,of,volatile,expiration,action,",",'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,NN
of,volatile,expiration,action,",",'',said,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,NN
volatile,expiration,action,",",'',said,donald,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,TITLE,","
expiration,action,",",'',said,donald,selkin,LOWER,LOWER,PUNCT,MIXED,LOWER,TITLE,TITLE,''
action,",",'',said,donald,selkin,",",LOWER,PUNCT,MIXED,LOWER,TITLE,TITLE,PUNCT,VBD
",",'',said,donald,selkin,",",head,PUNCT,MIXED,LOWER,TITLE,TITLE,PUNCT,LOWER,NNP
'',said,donald,selkin,",",head,of,MIXED,LOWER,TITLE,TITLE,PUNCT,LOWER,LOWER,NNP
said,donald,selkin,",",head,of,stock-index,LOWER,TITLE,TITLE,PUNCT,LOWER,LOWER,LOWER,","
donald,selkin,",",head,of,stock-index,research,TITLE,TITLE,PUNCT,LOWER,LOWER,LOWER,LOWER,NN
selkin,",",head,of,stock-index,research,at,TITLE,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,IN
",",head,of,stock-index,research,at,prudential-bache,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,NN
head,of,stock-index,research,at,prudential-bache,securities,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,NN
of,stock-index,research,at,prudential-bache,securities,.,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,PUNCT,IN
stock-index,research,at,prudential-bache,securities,.,<PAD>,LOWER,LOWER,LOWER,TITLE,TITLE,PUNCT,<PAD>,NNP
research,at,prudential-bache,securities,.,<PAD>,<PAD>,LOWER,LOWER,TITLE,TITLE,PUNCT,<PAD>,<PAD>,NNP
at,prudential-bache,securities,.,<PAD>,<PAD>,<PAD>,LOWER,TITLE,TITLE,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,consensus,from,the,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,consensus,from,the,scientific,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,the,consensus,from,the,scientific,community,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,IN
the,consensus,from,the,scientific,community,is,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
consensus,from,the,scientific,community,is,that,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
from,the,scientific,community,is,that,there,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,scientific,community,is,that,there,is,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
scientific,community,is,that,there,is,sufficient,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
community,is,that,there,is,sufficient,evidence,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,EX
is,that,there,is,sufficient,evidence,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBZ
that,there,is,sufficient,evidence,to,advise,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
there,is,sufficient,evidence,to,advise,major,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
is,sufficient,evidence,to,advise,major,policy,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
sufficient,evidence,to,advise,major,policy,changes,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
evidence,to,advise,major,policy,changes,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJ
to,advise,major,policy,changes,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,NN
advise,major,policy,changes,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
major,policy,changes,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,hudson,'s,researchers,estimated,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,NNP
<PAD>,<PAD>,hudson,'s,researchers,estimated,that,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,POS
<PAD>,hudson,'s,researchers,estimated,that,it,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
hudson,'s,researchers,estimated,that,it,would,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
's,researchers,estimated,that,it,would,cost,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
researchers,estimated,that,it,would,cost,less,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
estimated,that,it,would,cost,less,than,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
that,it,would,cost,less,than,$,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VB
it,would,cost,less,than,$,650,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DIGIT,JJR
would,cost,less,than,$,650,million,LOWER,LOWER,LOWER,LOWER,PUNCT,DIGIT,LOWER,IN
cost,less,than,$,650,million,a,LOWER,LOWER,LOWER,PUNCT,DIGIT,LOWER,LOWER,$
less,than,$,650,million,a,year,LOWER,LOWER,PUNCT,DIGIT,LOWER,LOWER,LOWER,CD
than,$,650,million,a,year,to,LOWER,PUNCT,DIGIT,LOWER,LOWER,LOWER,LOWER,CD
$,650,million,a,year,to,test,PUNCT,DIGIT,LOWER,LOWER,LOWER,LOWER,LOWER,DT
650,million,a,year,to,test,the,DIGIT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
million,a,year,to,test,the,entire,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
a,year,to,test,the,entire,population,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
year,to,test,the,entire,population,between,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
to,test,the,entire,population,between,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
test,the,entire,population,between,the,ages,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,entire,population,between,the,ages,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
entire,population,between,the,ages,of,12,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,DT
population,between,the,ages,of,12,and,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,NNS
between,the,ages,of,12,and,65,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,DIGIT,IN
the,ages,of,12,and,65,years,LOWER,LOWER,LOWER,DIGIT,LOWER,DIGIT,LOWER,CD
ages,of,12,and,65,years,old,LOWER,LOWER,DIGIT,LOWER,DIGIT,LOWER,LOWER,CC
of,12,and,65,years,old,.,LOWER,DIGIT,LOWER,DIGIT,LOWER,LOWER,PUNCT,CD
12,and,65,years,old,.,<PAD>,DIGIT,LOWER,DIGIT,LOWER,LOWER,PUNCT,<PAD>,NNS
and,65,years,old,.,<PAD>,<PAD>,LOWER,DIGIT,LOWER,LOWER,PUNCT,<PAD>,<PAD>,JJ
65,years,old,.,<PAD>,<PAD>,<PAD>,DIGIT,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,while,major,oil,companies,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,IN
<PAD>,<PAD>,while,major,oil,companies,have,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,JJ
<PAD>,while,major,oil,companies,have,been,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,NN
while,major,oil,companies,have,been,experimenting,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
major,oil,companies,have,been,experimenting,with,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
oil,companies,have,been,experimenting,with,cleaner-burning,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
companies,have,been,experimenting,with,cleaner-burning,gasoline,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
have,been,experimenting,with,cleaner-burning,gasoline,blends,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
been,experimenting,with,cleaner-burning,gasoline,blends,for,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
experimenting,with,cleaner-burning,gasoline,blends,for,years,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
with,cleaner-burning,gasoline,blends,for,years,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,NNS
cleaner-burning,gasoline,blends,for,years,",",only,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,IN
gasoline,blends,for,years,",",only,atlantic,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,TITLE,NNS
blends,for,years,",",only,atlantic,richfield,LOWER,LOWER,LOWER,PUNCT,LOWER,TITLE,TITLE,","
for,years,",",only,atlantic,richfield,co.,LOWER,LOWER,PUNCT,LOWER,TITLE,TITLE,TITLE,RB
years,",",only,atlantic,richfield,co.,is,LOWER,PUNCT,LOWER,TITLE,TITLE,TITLE,LOWER,NNP
